state_name,state_name_slug,state_code,state_code_slug,city_name,city_name_slug,district,at_large,vacant,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,date_of_birth,entered_office,term_end,email,phone,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,population,background_url,city_government_url,city_council_url,city_council_calendar_url,city_council_legislation_url,city_council_committees_url,twitter_handle,twitter_url,facebook_url,photo_url
"Texas","texas","TX","tx","Houston","houston","1","true","false","councilor","nonpartisan","Mike Knox","mike-knox","Mike","Mike","Knox",,,,"male","white-american",,"1/2/16","1/2/20","atlarge1@houstontx.gov","832-393-3014","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77013",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","mikeknox2015","https://twitter.com/mikeknox2015","https://www.facebook.com/MikeKnox1Hou/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/mike-knox.jpg"
"Texas","texas","TX","tx","Houston","houston","2","true","false","councilor","nonpartisan","David Robinson","david-robinson","David","David","Robinson",,,,"male","white-american",,"1/2/14","1/2/20","atlarge2@houstontx.gov","832-393-3013","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77014",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","dwr4hou","https://twitter.com/dwr4hou","https://www.facebook.com/dwr4hou/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/david-robinson.jpg"
"Texas","texas","TX","tx","Houston","houston","3","true","false","councilor","nonpartisan","Michael Kubosh","michael-kubosh","Michael","Michael","Kubosh",,,,"male","white-american",,"1/2/14","1/2/20","atlarge3@houstontx.gov","832-393-3005","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77015",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","michaelkubosh3","https://twitter.com/michaelkubosh3","https://www.facebook.com/MikeKubosh/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/michael-kubosh.jpg"
"Texas","texas","TX","tx","Houston","houston","4","true","false","councilor","nonpartisan","Amanda Edwards","amanda-edwards","Amanda","Amanda","Edwards",,,,"female","african-american",,"1/2/16","1/2/20","atlarge4@houstontx.gov","832-393-3012","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77016",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","amanda4houston","https://twitter.com/amanda4houston","https://www.facebook.com/councilmemberamandaedwards/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/amanda-edwards.jpg"
"Texas","texas","TX","tx","Houston","houston","5","true","false","councilor","republican","Jack Christie","jack-christie","Jack","Jack","Christie",,,,"male","white-american",,"1/2/12","1/2/20","atlarge5@houstontx.gov","832-393-3017","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77017",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","drjackchristie","https://twitter.com/drjackchristie","https://www.facebook.com/Dr-Jack-Christie-134358762460/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/jack-christie.jpg"
"Texas","texas","TX","tx","Houston","houston","A","false","false","councilor","nonpartisan","Brenda Stardig","brenda-stardig","Brenda","Brenda","Stardig",,,,"female","white-american",,"1/2/10","1/2/20","districta@houstontx.gov","832-393-3010","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77002",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","brendastardig","https://twitter.com/brendastardig","https://www.facebook.com/brendastardig","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/brenda-stardig.jpg"
"Texas","texas","TX","tx","Houston","houston","B","false","false","councilor","nonpartisan","Jerry Davis","jerry-davis","Jerry","Jerry","Davis",,,,"male","african-american",,"1/2/12","1/2/20","districtb@houstontx.gov","832-393-3009","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77003",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","davisdistrictb","https://twitter.com/davisdistrictb","https://www.facebook.com/JerryDavisDistrictB","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/jerry-davis.jpg"
"Texas","texas","TX","tx","Houston","houston","C","false","false","mayor-pro-tem","nonpartisan","Ellen Cohen","ellen-cohen","Ellen","Ellen","Cohen",,,,"female","white-american",,"1/2/12","1/2/20","districtc@houstontx.gov","832-393-3004","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77004",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","ellencohen1","https://twitter.com/ellencohen1","https://www.facebook.com/RepEllenCohen/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/ellen-cohen.jpg"
"Texas","texas","TX","tx","Houston","houston","D","false","false","councilor","democrat","Dwight Boykins","dwight-boykins","Dwight","Dwight","Boykins",,,,"male","african-american",,"1/2/14","1/2/20","districtd@houstontx.gov","832-393-3001","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77005",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","DwightBoykins","https://twitter.com/DwightBoykins","https://www.facebook.com/Houston-City-Council-Member-Dwight-Boykins-197441293783519/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/dwight-boykins.jpg"
"Texas","texas","TX","tx","Houston","houston","E","false","false","councilor","nonpartisan","Dave Martin","dave-martin","Dave","Dave","Martin",,,,"male","white-american",,"1/2/12","1/2/20","districte@houstontx.gov","832-393-3008","29.7604082","-95.4400137","City Hall Annex, 900 Bagby, First Floor, Houston, TX 77006",,,"City Hall",,,,,,"Annex","2099451","https://cdn.civil.services/city-council/tx/houston/backgrounds/1280x720/city.jpg","http://www.houstontx.gov","http://www.houstontx.gov/council/","https://houston.novusagenda.com/agendapublic/","https://houston.novusagenda.com/agendapublic/","http://www.houstontx.gov/boards/","cmdavemartin","https://twitter.com/cmdavemartin","https://www.facebook.com/councilmemberdavemartin/","https://cdn.civil.services/city-council/tx/houston/headshots/512x512/dave-martin.jpg"
