district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,yes,Mike,Knox,male,white-american,,1/2/16,1/2/20,councilor,nonpartisan,atlarge1@houstontx.gov,832-393-3014,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77013",https://twitter.com/mikeknox2015,https://www.facebook.com/MikeKnox1Hou/,http://www.houstontx.gov/council/1/images/knox.jpg
2,yes,David,Robinson,male,white-american,,1/2/14,1/2/20,councilor,nonpartisan,atlarge2@houstontx.gov,832-393-3013,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77014",https://twitter.com/dwr4hou,https://www.facebook.com/dwr4hou/,http://www.houstontx.gov/council/2/images/robinson.jpg
3,yes,Michael,Kubosh,male,white-american,,1/2/14,1/2/20,councilor,nonpartisan,atlarge3@houstontx.gov,832-393-3005,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77015",https://twitter.com/michaelkubosh3,https://www.facebook.com/MikeKubosh/,http://www.houstontx.gov/council/3/images/kubosh.jpg
4,yes,Amanda,Edwards,female,african-american,,1/2/16,1/2/20,councilor,nonpartisan,atlarge4@houstontx.gov,832-393-3012,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77016",https://twitter.com/amanda4houston,https://www.facebook.com/councilmemberamandaedwards/,http://www.houstontx.gov/council/4/images/edwards.jpg
5,yes,Jack,Christie,male,white-american,,1/2/12,1/2/20,councilor,republican,atlarge5@houstontx.gov,832-393-3017,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77017",https://twitter.com/drjackchristie,https://www.facebook.com/Dr-Jack-Christie-134358762460/,http://www.houstontx.gov/council/5/images/jackchristie150.jpg
A,no,Brenda,Stardig,female,white-american,,1/2/10,1/2/20,councilor,nonpartisan,districta@houstontx.gov,832-393-3010,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77002",https://twitter.com/brendastardig,https://www.facebook.com/brendastardig,http://www.houstontx.gov/council/a/images/stardig.jpg
B,no,Jerry,Davis,male,african-american,,1/2/12,1/2/20,councilor,nonpartisan,districtb@houstontx.gov,832-393-3009,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77003",https://twitter.com/davisdistrictb,https://www.facebook.com/JerryDavisDistrictB,http://www.houstontx.gov/council/b/images/davis.jpg
C,no,Ellen,Cohen,female,white-american,,1/2/12,1/2/20,mayor-pro-tem,nonpartisan,districtc@houstontx.gov,832-393-3004,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77004",https://twitter.com/ellencohen1,https://www.facebook.com/RepEllenCohen/,http://www.houstontx.gov/council/c/images/cohen.jpg
D,no,Dwight,Boykins,male,african-american,,1/2/14,1/2/20,councilor,democrat,districtd@houstontx.gov,832-393-3001,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77005",https://twitter.com/DwightBoykins,https://www.facebook.com/Houston-City-Council-Member-Dwight-Boykins-197441293783519/,http://www.houstontx.gov/council/d/images/boykins.jpg
E,no,Dave,Martin,male,white-american,,1/2/12,1/2/20,councilor,nonpartisan,districte@houstontx.gov,832-393-3008,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77006",https://twitter.com/cmdavemartin,https://www.facebook.com/councilmemberdavemartin/,http://www.houstontx.gov/council/e/images/davemartin.jpg
F,no,Steve,Le,male,asian-american,,1/2/16,1/2/20,councilor,nonpartisan,districtf@houstontx.gov,832-393-3002,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77007",https://twitter.com/stevelehtx,https://www.facebook.com/Houston-City-Council-Member-Steve-Le-District-F-482174378598172/,http://www.houstontx.gov/council/f/images/le.jpg
G,no,Greg,Travis,male,white-american,,1/2/16,1/2/20,councilor,nonpartisan,districtg@houstontx.gov,832-393-3007,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77008",https://twitter.com/travisdistrictg,https://www.facebook.com/Greg-Travis-1625124334370431/,http://www.houstontx.gov/council/g/images/travis150.jpg
H,no,Karla,Cisneros,female,white-american,,1/2/16,1/2/20,councilor,nonpartisan,districth@houstontx.gov,832-393-3003,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77009",https://twitter.com/Karla4Houston,https://www.facebook.com/karla.cisneros.7921,http://www.houstontx.gov/council/h/images/cisneros.jpg
I,no,Robert,Gallegos,male,hispanic-american,,1/2/14,1/2/20,councilor,nonpartisan,districti@houstontx.gov,832-393-3011,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77010",https://twitter.com/robertgallegosi,https://www.facebook.com/CouncilmemberGallegos,http://www.houstontx.gov/council/i/about.html
J,no,Mike,Laster,male,white-american,,1/2/12,1/2/20,councilor,nonpartisan,districtj@houstontx.gov,832-393-3015,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77011",https://twitter.com/_mikelaster,https://www.facebook.com/MikeLasterHTX/,http://www.houstontx.gov/council/j/images/laster.jpg
K,no,Larry,Green,male,african-american,,1/2/12,1/2/20,councilor,nonpartisan,districtk@houstontx.gov,832-393-3016,"City Hall Annex, 900 Bagby, First Floor, Houston, TX 77012",https://twitter.com/greendistrictk,https://www.facebook.com/HoustonCityCouncilDistrictK/,http://www.houstontx.gov/council/k/images/green.jpg
